adm1_name,anom_growing_ndvi,anom_precip,anom_prev_precip,anom_sm_profile,anom_sm_rootzone,anom_sm_shallow,anom_spring_sm_rootzone,anom_spring_sm_shallow,anom_summer_ndvi,anom_temp,anom_vpd,growing_mean_ndvi,lc_class,lc_name,prev_summer_precip,spring_sm_rootzone,spring_sm_shallow,summer_mean_ndvi,summer_precip,summer_sm_profile,summer_sm_rootzone,summer_sm_shallow,summer_temp,summer_vpd,year
Baden-Wuerttemberg,-0.0031708238780623,18.761626310302976,37.18197526179433,0.0084778333596991,0.008634606251125,0.0181037310422569,0.0071252162888525,0.0131012906663737,-0.0085267893440114,-1.3871111709309565,-0.1134318112426114,0.768776354816245,1,forest,352.7196574419272,0.4138900942090859,0.400479412543281,0.7927408845346248,331.8462648975282,0.384608816662363,0.3825859409817152,0.3643050407513502,16.375615104279984,0.5252928843421976,2000
Bayern,-0.0099795540119348,16.472399903814654,-8.906101043801206,0.0041259525860878,0.0032526591146856,0.0109240903279052,0.0090861948378208,0.0104749805483253,-0.0363645483741958,-1.2443266697165003,-0.0815746666931124,0.7368088922796033,1,forest,341.31230860263014,0.3845291878815194,0.3680880172506601,0.7472623208137719,366.9961676348076,0.3537987174452249,0.3501098025838209,0.3356641926733831,16.07705200674057,0.5118433157432053,2000
Berlin,-0.0369384710608862,-25.86302990938256,-41.1540453587815,-0.0044013266770527,-0.005980762453949,-0.001984075799462,0.0016397075129222,-0.00032917254083504865,-0.0685889416509136,-1.7565701709409725,-0.1466240940696284,0.6600612152308939,1,forest,170.3306065596843,0.3563317359219174,0.3361042426296746,0.6607853812224322,186.78546394593232,0.3128222376098284,0.3087125023135878,0.2749478752481848,17.5188109641281,0.6469918132227915,2000
Brandenburg,-0.0251502650339899,-16.392743772734846,-41.50160673237732,-0.0001778172054933324,-0.0018222249198098,0.0026821467904435,0.0057408110256142,0.0013923323458965,-0.0616846349175155,-1.7679683905323342,-0.1500087132683878,0.6861477541561971,1,forest,174.98807982621824,0.3757067895152013,0.3541905362228703,0.666698571397377,200.77951574397773,0.3332392563909792,0.3287090256774554,0.3015208140183152,17.370174383498586,0.6241884296201364,2000
Hamburg,-0.0604169890109891,-42.37988998240991,-48.06031169169359,0.0011213171904913,-0.0010604772515336,0.0074686417892984,0.0094683299466843,0.010182117530522,-0.1198299999999998,-1.783410844600036,-0.1154672118285856,0.6969214285714286,1,forest,213.30462622435675,0.385291418278374,0.363293618255761,0.6622166666666668,220.50515770965265,0.3454504741218256,0.3394903384200703,0.3292738625083203,15.918025482341838,0.4777755342570733,2000
Hessen,-0.0288910094021065,20.54829911905182,-5.259879344236456,0.0068318873568039,0.0053332443133324,0.0230806663153385,0.0082444622803756,0.0088333107185987,-0.0523713419619273,-1.683760152750344,-0.1520703726583548,0.7207708486438713,1,forest,228.81807568969717,0.3861192641605095,0.3632268675414223,0.7267204547867467,255.5730019265272,0.345932621002389,0.3412913349549736,0.324728798114933,16.10432539864256,0.4974174934582335,2000
Mecklenburg-Vorpommern,-0.0147200683329995,-2.5741524689724584,-33.05468690332434,-0.0017941667373981,-0.0035711089833653,0.0087762938673828,0.0012404445433721,-0.0053698938354799,-0.0352785095913079,-1.8530028172128143,-0.1238749595739529,0.7134399755512632,1,forest,193.727273490826,0.3335817094144531,0.3037146469953432,0.7164573208570123,225.1873470132119,0.2949149380294693,0.2896532284000261,0.272699040775915,16.267995987063735,0.5036336028664206,2000
Niedersachsen,-0.0440903225969054,-22.228780622895574,-33.67313579295067,-0.0019240339624404,-0.0041640059690825,0.0032620595662112,0.0080622011536242,0.0071900690531746,-0.1046761297962484,-1.71437087682847,-0.1289436776117526,0.69572665720659,1,forest,208.88104333636247,0.3244719940718899,0.299706068068902,0.6626812396764333,222.37891938323952,0.2796724480615455,0.2735634697077523,0.2587749879372624,16.052452708785044,0.5141370547628882,2000
Nordrhein-Westfalen,-0.0373492748414895,23.799330485727584,-30.604548748265746,0.0093199550579862,0.0089250075759614,0.0269918168149183,0.0053990605357271,0.0109392521823587,-0.0800851387759676,-1.6249899071446072,-0.1322263477047827,0.7088820690641389,1,forest,259.6760437877858,0.3828162975646051,0.3634120600883597,0.6973217152652551,315.94561805205615,0.3517478784631428,0.3478614055577214,0.3424531581424829,15.228825892449636,0.4076238120485249,2000
Rheinland-Pfalz,-0.0159802597040851,33.53713175760103,-19.264103288919447,0.0169591403401448,0.0166078241519099,0.0368727788670217,0.0109758725671791,0.0191756740205835,-0.0147821555440257,-1.6696554430681605,-0.1655356843874609,0.7457438207035849,1,forest,216.47046668525775,0.380916947361441,0.3654012647892291,0.7801469008294241,270.6309068238676,0.3467212654912467,0.3432438830153984,0.3237670005521735,16.155036624332453,0.4900692326964987,2000
Saarland,-0.0160384625728053,37.545517426310106,-8.18946823568078,0.017643651421177,0.0179799875510996,0.0395500666558482,0.0071359137179616,0.0216733325924566,-0.0080072550037866,-1.6181830325469615,-0.1673221064235079,0.7427846826169611,1,forest,222.85294467185787,0.3861538028064046,0.3725319584090016,0.7882065536081357,269.8446077638934,0.3544509927487344,0.3513252989427415,0.3295039120715006,16.479076144176176,0.5184593027264076,2000
